Station	StnKod	X_RAK	Y_RAK	èr	Yta	BestÜnd	ArtNr: 42	66	68	70	146	207	212	255	325	330	348	355	366	397	411	431
Aneboda	ANEB	633265	142405	1996	B 5	Hîg gran med tall och lîv		*							*							
Aneboda	ANEB	633265	142405	1996	B 6	Hîg gran med tall och lîv									Brott							
Aneboda	ANEB	633265	142405	1996	C 5	Hîg gran med tall och lîv									*							
Aneboda	ANEB	633265	142405	1996	C 7	Hîg gran med tall och lîv										Brott						
Aneboda	ANEB	633265	142405	1996	D 5	Hîg gran med tall och lîv									*	TrÑngsel						
Aneboda	ANEB	633265	142405	1996	D 9	Hîg gran med lîv	*	*							*							
Aneboda	ANEB	633265	142405	1996	E 5	Hîg gran med tall									TrÑngsel	Brott						
Aneboda	ANEB	633265	142405	1996	E 6	Hîg gran med tall									Brott	*						
Aneboda	ANEB	633265	142405	1996	F 7	Hîg gran med tall									Brott	*						
Aneboda	ANEB	633265	142405	1996	F 9	Hîg gran med tall och lîv									Hîgstubbe							
Aneboda	ANEB	633265	142405	1996	G 5	Hîg gran med tall och lîv										VindfÑllning						
Aneboda	ANEB	633265	142405	1996	G 8	Hîg gran med lîv		*							*							
Aneboda	ANEB	633265	142405	1996	G 9	Hîg gran med lîv		*							*							
Aneboda	ANEB	633265	142405	1996	G10	Hîg gran med tall och lîv		*							*	*						
Aneboda	ANEB	633265	142405	1996	H 3	Medelhîg gran med tall och lîv		*							*	*						TrÑngsel
Aneboda	ANEB	633265	142405	1996	H 4	Hîg gran		TrÑngsel							*	Avverkn.-stubbe						
Aneboda	ANEB	633265	142405	1996	H 7	Hîg gran med lîv									Hîgstubbe							
Aneboda	ANEB	633265	142405	1996	H 9	Hîg gran med lîv			*						*							
Aneboda	ANEB	633265	142405	1996	H10	Hîg gran med tall och lîv		Hîgstubbe						TrÑngsel		*						
Aneboda	ANEB	633265	142405	1996	I 3	Hîg gran med lîv			*						*							*
Aneboda	ANEB	633265	142405	1996	I 4	Hîg gran med lîv		TrÑngsel							*							
Aneboda	ANEB	633265	142405	1996	I 5	Hîg gran med lîv	*		*						*							
Aneboda	ANEB	633265	142405	1996	I 7	Hîg gran med lîv		Brott							*							
Aneboda	ANEB	633265	142405	1996	I 9	Hîg gran med lîv									*							
Aneboda	ANEB	633265	142405	1996	I10	Medelhîg gran med lîv						Brott			*							
Aneboda	ANEB	633265	142405	1996	J 2	Medelhîg gran med lîv													TrÑngsel			
Aneboda	ANEB	633265	142405	1996	J 4	Medelhîg gran med lîv			*						*							
Aneboda	ANEB	633265	142405	1996	J 5	Hîg gran med lîv			*						*							
Aneboda	ANEB	633265	142405	1996	J 7	Medelhîg gran med lîv			*		*				*							*
Aneboda	ANEB	633265	142405	1996	J 8	Medelhîg gran med lîv		*							*							
Aneboda	ANEB	633265	142405	1996	J10	Hîg gran med lîv	*	*							*							
Aneboda	ANEB	633265	142405	1996	K 4	Medelhîg gran med lîv			*						TrÑngsel							
Aneboda	ANEB	633265	142405	1996	K 7	Hîg gran med lîv		*					*	TrÑngsel	*							*
Aneboda	ANEB	633265	142405	1996	K 8	Hîg gran med lîv									*							
Aneboda	ANEB	633265	142405	1996	K 9	Hîg gran med lîv				*					*							
Aneboda	ANEB	633265	142405	1996	K10	Hîg gran med lîv	*	*					TrÑngsel		*							
Aneboda	ANEB	633265	142405	1996	L 6	Medelhîg gran med lîv		*						*	*							
Aneboda	ANEB	633265	142405	1996	L 8	Hîg gran med lîv		*							*							
Aneboda	ANEB	633265	142405	1996	L 9	Hîg gran med lîv				*				TrÑngsel	*							*
Aneboda	ANEB	633265	142405	1996	L10	Hîg gran med tall och lîv									*	Hîgstubbe						
Aneboda	ANEB	633265	142405	1996	M 8	Hîg gran med tall och lîv		*							*							
Aneboda	ANEB	633265	142405	2001	B 6	Hîg gran med tall och lîv									Brott	Brott						
Aneboda	ANEB	633265	142405	2001	C 5	Hîg gran med tall och lîv									*							
Aneboda	ANEB	633265	142405	2001	C 7	Hîg gran med tall och lîv										Brott						
Aneboda	ANEB	633265	142405	2001	D 5	Hîg gran med tall och lîv									*	TrÑngsel						
Aneboda	ANEB	633265	142405	2001	D 9	Hîg gran med lîv	Hîgstubbe	Hîgstubbe							TrÑngsel							
