Station	StnKod	X_RAK	Y_RAK	èr	Yta	BestÜnd	ArtNr: 42	66	68	70	146	207	212	255	325	330	348	355	366	397	411	431
Aneboda	ANEB	633265	142405	1996	B 5	Hîg gran med tall och lîv		*							*	265						
Aneboda	ANEB	633265	142405	1996	B 6	Hîg gran med tall och lîv									*	*						
Aneboda	ANEB	633265	142405	1996	C 5	Hîg gran med tall och lîv		*							*	264						
Aneboda	ANEB	633265	142405	1996	C 7	Hîg gran med tall och lîv		*							*							
Aneboda	ANEB	633265	142405	1996	D 5	Hîg gran med tall och lîv									*	276						
Aneboda	ANEB	633265	142405	1996	D 6	Hîg gran med lîv		221							*							
Aneboda	ANEB	633265	142405	1996	D 8	Hîg gran med lîv		*							*							
Aneboda	ANEB	633265	142405	1996	D 9	Hîg gran med lîv	159	23							*							
Aneboda	ANEB	633265	142405	1996	E 5	Hîg gran med tall									*	*						
Aneboda	ANEB	633265	142405	1996	E 6	Hîg gran med tall									*	*						
Aneboda	ANEB	633265	142405	1996	E 8	Hîg gran med lîv		166				*			*							
Aneboda	ANEB	633265	142405	1996	E 9	Hîg gran med lîv									*							
Aneboda	ANEB	633265	142405	1996	F 5	Hîg gran med tall						57			*	*						
Aneboda	ANEB	633265	142405	1996	F 7	Hîg gran med tall									*	*						
Aneboda	ANEB	633265	142405	1996	F 9	Hîg gran med tall och lîv						93			*	262						
Aneboda	ANEB	633265	142405	1996	G 5	Hîg gran med tall och lîv		227							*	*						
Aneboda	ANEB	633265	142405	1996	G 6	Hîg gran med tall									*	*						
Aneboda	ANEB	633265	142405	1996	G 8	Hîg gran med lîv			178			233			*							
Aneboda	ANEB	633265	142405	1996	G 9	Hîg gran med lîv	*		*						*							
Aneboda	ANEB	633265	142405	1996	G10	Hîg gran med tall och lîv		*	174						*	*						
Aneboda	ANEB	633265	142405	1996	H 3	Medelhîg gran med tall och lîv		121							*							
Aneboda	ANEB	633265	142405	1996	H 4	Hîg gran									*							
Aneboda	ANEB	633265	142405	1996	H 5	Hîg gran med tall									*	271						
Aneboda	ANEB	633265	142405	1996	H 7	Hîg gran med lîv		80							*							
Aneboda	ANEB	633265	142405	1996	H 9	Hîg gran med lîv	*	267	*			241			*							
Aneboda	ANEB	633265	142405	1996	H10	Hîg gran med tall och lîv		180	190						*	*						
Aneboda	ANEB	633265	142405	1996	H11	Medelhîg gran med lîv		*	89			103		57	*	182						55
Aneboda	ANEB	633265	142405	1996	I 3	Hîg gran med lîv		133	118						*					62		
Aneboda	ANEB	633265	142405	1996	I 4	Hîg gran med lîv		*							*							
Aneboda	ANEB	633265	142405	1996	I 5	Hîg gran med lîv	*	63							*							
Aneboda	ANEB	633265	142405	1996	I 7	Hîg gran med lîv		209				*			*					134		
Aneboda	ANEB	633265	142405	1996	I 9	Hîg gran med lîv	226								*							
Aneboda	ANEB	633265	142405	1996	I10	Medelhîg gran med lîv		*				156			*	150						91
Aneboda	ANEB	633265	142405	1996	J 2	Medelhîg gran med lîv		*							*							
Aneboda	ANEB	633265	142405	1996	J 4	Medelhîg gran med lîv			*						*	108						
Aneboda	ANEB	633265	142405	1996	J 5	Hîg gran med lîv			175						*	217						
Aneboda	ANEB	633265	142405	1996	J 7	Medelhîg gran med lîv			*						*	241				83		
Aneboda	ANEB	633265	142405	1996	J 8	Medelhîg gran med lîv	232	204	*			254			*							87
Aneboda	ANEB	633265	142405	1996	J10	Hîg gran med lîv	*	*	241						*		178					
Aneboda	ANEB	633265	142405	1996	K 4	Medelhîg gran med lîv			*						*							
Aneboda	ANEB	633265	142405	1996	K 7	Hîg gran med lîv		165	140						*							
Aneboda	ANEB	633265	142405	1996	K 8	Hîg gran med lîv	*	*				256			*							*
Aneboda	ANEB	633265	142405	1996	K 9	Hîg gran med lîv		*	*						*							
Aneboda	ANEB	633265	142405	1996	K10	Hîg gran med lîv	95		*						*				194			
Aneboda	ANEB	633265	142405	1996	L 6	Medelhîg gran med lîv		114							*	*						
Aneboda	ANEB	633265	142405	1996	L 8	Hîg gran med lîv	118	245							*							141
Aneboda	ANEB	633265	142405	1996	L 9	Hîg gran med lîv		157				171			*							
Aneboda	ANEB	633265	142405	1996	L10	Hîg gran med tall och lîv		219	223						*							
Aneboda	ANEB	633265	142405	1996	M 8	Hîg gran med tall och lîv		*							*	297						
Aneboda	ANEB	633265	142405	2001	B 6	Hîg gran med tall och lîv									*	*						
Aneboda	ANEB	633265	142405	2001	C 5	Hîg gran med tall och lîv		*							*	264						
Aneboda	ANEB	633265	142405	2001	C 7	Hîg gran med tall och lîv		*							*							
Aneboda	ANEB	633265	142405	2001	D 5	Hîg gran med tall och lîv									*	276						
Aneboda	ANEB	633265	142405	2001	D 6	Hîg gran med lîv		221							*							
Aneboda	ANEB	633265	142405	2001	D 8	Hîg gran med lîv		*							*							
Aneboda	ANEB	633265	142405	2001	D 9	Hîg gran med lîv	159		23						*							
Aneboda	ANEB	633265	142405	2001	E 5	Hîg gran med tall									*	*						
Aneboda	ANEB	633265	142405	2001	E 6	Hîg gran med tall									*	*						
Aneboda	ANEB	633265	142405	2001	E 8	Hîg gran med lîv		166				*			*							
Aneboda	ANEB	633265	142405	2001	E 9	Hîg gran med lîv									*							
Aneboda	ANEB	633265	142405	2001	F 5	Hîg gran med tall						57			*	*						
Aneboda	ANEB	633265	142405	2001	F 7	Hîg gran med tall									*	*						
Aneboda	ANEB	633265	142405	2001	F 9	Hîg gran med tall och lîv						93			*	262						
Aneboda	ANEB	633265	142405	2001	G 5	Hîg gran med tall och lîv		227							*	*						
Aneboda	ANEB	633265	142405	2001	G 6	Hîg gran med tall									*	*						
Aneboda	ANEB	633265	142405	2001	G 8	Hîg gran med lîv			178			233			*							
Aneboda	ANEB	633265	142405	2001	G 9	Hîg gran med lîv	200		*						*							
Aneboda	ANEB	633265	142405	2001	G10	Hîg gran med tall och lîv		*	174						*	*						
Aneboda	ANEB	633265	142405	2001	H 3	Medelhîg gran med tall och lîv		121							*							
Aneboda	ANEB	633265	142405	2001	H 4	Hîg gran									*							
Aneboda	ANEB	633265	142405	2001	H 5	Hîg gran med tall									*	271						
Aneboda	ANEB	633265	142405	2001	H 7	Hîg gran med lîv		80							*							
Aneboda	ANEB	633265	142405	2001	H 9	Hîg gran med lîv	*	267	*			241			*							
Aneboda	ANEB	633265	142405	2001	H10	Hîg gran med tall och lîv		180	190						*	*						
Aneboda	ANEB	633265	142405	2001	I 3	Hîg gran med lîv		133	118						*					62		
Aneboda	ANEB	633265	142405	2001	I 4	Hîg gran med lîv		*							*							
Aneboda	ANEB	633265	142405	2001	I 5	Hîg gran med lîv	*	63							*							
Aneboda	ANEB	633265	142405	2001	I 7	Hîg gran med lîv		209				*			*					134		
