†r,y1,y2,y3,y4,y5,y6,y7,y8,y9,medel,max,min
1961,1.94,-6.72,9.62,-0.04,6.32,-2.22,-8.17,-7.93,0.16,-0.78,9.62,-8.17
1962,5.54,-3.74,0.52,-5.35,4.45,12.66,-3.74,1.80,9.45,2.40,12.66,-5.35
1963,0.17,-10.67,-4.29,3.45,-4.85,-1.61,-12.57,-0.85,-1.41,-3.63,3.45,-12.57
1964,-7.19,10.68,-1.49,-7.92,2.97,4.08,-7.83,4.52,0.20,-0.22,10.68,-7.92
1965,-6.71,-7.50,1.17,-1.17,-2.62,3.16,0.96,-0.90,11.64,-0.22,11.64,-7.50
1966,-0.47,-1.45,-0.87,-7.74,-0.41,-1.01,6.80,-4.84,6.88,-0.34,6.88,-7.74
1967,-2.28,-2.26,4.02,-1.62,-13.64,1.19,-2.39,-9.20,13.32,-1.43,13.32,-13.64
1968,1.15,1.07,-0.71,1.27,6.39,-18.31,-21.62,1.45,-2.73,-3.56,6.39,-21.62
1969,-3.03,-6.66,4.37,11.82,-0.82,15.50,-2.31,-5.99,-1.80,1.23,15.50,-6.66
1970,0.19,6.20,-3.94,-5.61,4.01,2.56,-13.90,4.64,-11.23,-1.90,6.20,-13.90
1971,-6.76,-2.57,-8.19,3.51,2.22,0.88,-2.14,1.11,8.41,-0.39,8.41,-8.19
1972,-5.14,24.35,0.09,-2.34,0.27,1.87,3.60,9.97,-10.81,2.43,24.35,-10.81
1973,2.78,15.71,-9.60,10.45,-6.78,-1.36,8.96,-12.21,-2.18,0.64,15.71,-12.21
1974,-7.65,-8.69,3.68,10.41,3.25,-5.71,1.38,-4.33,-14.03,-2.41,10.41,-14.03
1975,8.36,3.40,-2.39,-6.71,-6.19,3.24,-3.71,-5.78,-2.58,-1.37,8.36,-6.71
1976,8.27,-0.05,7.14,-2.15,-3.91,5.53,-2.42,2.36,-5.75,1.00,8.27,-5.75
1977,-2.95,6.06,-5.61,4.76,1.26,-0.78,-3.82,0.88,-14.66,-1.65,6.06,-14.66
1978,1.16,2.56,-11.92,13.32,6.36,-1.88,-4.52,7.19,7.63,2.21,13.32,-11.92
1979,-5.17,-1.58,-12.02,-13.17,-2.70,-2.88,9.63,-5.83,-13.23,-5.22,9.63,-13.23
1980,-4.23,-7.34,11.95,4.53,-4.46,-5.36,-2.13,-3.51,-10.41,-2.33,11.95,-10.41
1981,-4.58,-4.80,0.91,6.59,10.85,-10.92,12.94,3.48,-4.96,1.06,12.94,-10.92
1982,-12.09,-13.59,11.73,2.10,-7.04,5.46,7.17,0.84,9.83,0.49,11.73,-13.59
1983,4.12,-2.75,13.95,-17.95,2.15,-9.14,4.02,2.18,-8.43,-1.32,13.95,-17.95
1984,2.95,0.75,-3.87,-0.67,7.39,3.14,-3.92,-6.86,2.57,0.17,7.39,-6.86
1985,-1.11,-1.73,10.04,8.20,4.74,7.51,14.03,2.10,9.28,5.90,14.03,-1.73
1986,9.62,13.09,-3.90,-11.33,2.86,-3.04,6.68,10.27,-6.81,1.94,13.09,-11.33
1987,12.11,6.69,-12.97,1.02,1.94,-5.49,1.83,13.20,3.11,2.38,13.20,-12.97
1988,7.48,8.35,-4.05,15.56,-0.84,-0.58,11.50,0.58,10.78,5.42,15.56,-4.05
1989,7.03,-11.75,10.89,-13.13,-9.77,2.66,-4.51,-2.59,12.79,-0.93,12.79,-13.13
1990,-3.52,-5.06,-4.27,-0.12,-3.41,0.84,10.19,4.23,4.99,0.43,10.19,-5.06
1991,7.61,3.55,-2.54,-2.74,-8.84,5.18,-3.30,-1.89,9.06,0.68,9.06,-8.84
1992,8.64,1.36,-4.96,1.63,0.60,-6.47,-0.97,0.92,-9.19,-0.94,8.64,-9.19
1993,-7.89,21.15,-3.10,-4.44,9.63,7.04,5.78,4.66,12.11,4.99,21.15,-7.89
1994,7.05,-6.16,2.09,12.46,2.63,2.95,8.13,1.85,3.46,3.83,12.46,-6.16
1995,2.92,-0.84,5.41,-10.70,-8.10,2.18,3.32,-0.51,2.74,-0.40,5.41,-10.70
1996,15.64,-6.41,-8.43,0.89,16.92,5.52,2.42,1.70,-0.22,3.11,16.92,-8.43
1997,19.37,4.75,4.30,1.00,9.35,13.84,2.36,8.96,7.52,7.94,19.37,1.00
1998,-8.03,6.75,1.54,8.65,14.67,-7.82,9.83,2.43,16.26,4.92,16.26,-8.03
1999,5.08,8.28,2.42,13.21,19.27,6.47,-3.74,6.94,14.60,8.06,19.27,-3.74
2000,-1.53,3.42,-5.62,4.45,-4.09,9.74,4.55,-7.85,4.51,0.84,9.74,-7.85
2001,19.68,9.98,4.08,-2.54,2.76,0.43,15.02,4.50,-0.26,5.96,19.68,-2.54
2002,1.88,-12.75,4.26,-4.86,10.15,-1.63,5.12,-6.51,-1.13,-0.61,10.15,-12.75
2003,1.25,2.78,-6.45,15.14,5.38,6.08,0.88,-9.19,23.95,4.43,23.95,-9.19
2004,2.53,12.47,-6.14,23.39,22.27,4.10,-2.03,15.25,-2.94,7.66,23.39,-6.14
2005,2.68,1.49,10.95,0.77,10.32,-1.35,-11.77,1.50,-14.96,-0.04,10.95,-14.96
2006,10.88,14.93,-12.88,4.26,13.78,14.00,8.47,10.88,28.98,10.37,28.98,-12.88
2007,7.30,3.22,2.33,12.21,4.82,3.89,2.76,6.01,34.27,8.53,34.27,2.33
2008,18.06,2.14,5.86,16.48,4.88,12.31,-4.27,3.59,0.52,6.62,18.06,-4.27
2009,-9.80,3.21,0.31,12.48,15.51,6.37,2.85,11.42,2.81,5.02,15.51,-9.80
2010,-1.13,6.34,-11.20,15.20,7.40,10.19,-2.54,2.44,-10.17,1.84,15.20,-11.20
2011,7.03,10.72,8.05,17.45,-5.78,13.27,2.89,5.03,5.90,7.17,17.45,-5.78
2012,10.46,-2.90,10.53,9.78,-1.87,6.95,8.01,-0.81,14.55,6.08,14.55,-2.90
2013,7.40,3.21,0.67,-2.49,6.71,7.26,-1.78,-1.11,15.06,3.88,15.06,-2.49
2014,17.39,-5.80,-10.30,23.22,18.70,4.11,8.92,10.61,8.56,8.38,23.22,-10.30
2015,10.24,3.95,-3.52,7.11,0.51,9.42,6.32,13.40,1.95,5.49,13.40,-3.52
2016,-11.54,-2.05,-0.45,17.40,5.59,7.87,-1.85,11.83,5.79,3.62,17.40,-11.54
2017,14.46,14.36,0.18,10.89,6.63,31.33,5.45,0.48,14.08,10.87,31.33,0.18
2018,5.94,9.31,3.17,22.77,9.13,12.06,-0.52,-1.84,24.86,9.43,24.86,-1.84
2019,9.20,12.90,2.20,11.72,16.27,19.38,0.80,4.07,13.44,10.00,19.38,0.80
2020,10.93,3.14,-3.84,9.80,19.41,-0.02,3.45,2.25,2.82,5.32,19.41,-3.84
2021,19.06,12.32,5.61,-1.06,22.60,25.57,-3.40,3.15,10.96,10.53,25.57,-3.40
2022,-6.21,30.62,0.45,1.27,25.19,13.08,2.58,-5.40,11.99,8.17,30.62,-6.21
2023,24.50,1.96,11.08,11.85,4.99,-0.83,9.83,15.69,25.74,11.65,25.74,-0.83
2024,17.83,2.50,-13.99,15.14,27.29,20.72,3.41,13.24,5.92,10.23,27.29,-13.99
2025,11.33,13.26,5.39,-5.07,13.93,7.36,17.74,1.83,-6.48,6.59,17.74,-6.48
2026,12.96,4.56,2.06,15.20,15.64,25.93,8.52,2.69,23.46,12.34,25.93,2.06
2027,27.56,1.27,6.80,7.08,25.02,4.55,5.08,-7.91,21.15,10.07,27.56,-7.91
2028,8.44,1.21,-9.57,-1.37,16.16,-4.19,-0.62,0.85,28.88,4.42,28.88,-9.57
2029,10.41,10.19,-11.38,1.54,18.25,8.10,12.19,1.09,4.67,6.12,18.25,-11.38
2030,15.64,12.65,6.96,-0.74,26.30,23.52,4.70,-4.97,2.48,9.62,26.30,-4.97
2031,16.16,5.95,-0.35,11.01,18.93,14.67,6.95,18.52,15.24,11.90,18.93,-0.35
2032,-0.79,17.81,9.39,15.92,13.47,11.21,10.79,-3.49,9.03,9.26,17.81,-3.49
2033,22.70,4.13,14.25,6.53,10.39,9.48,12.18,-0.68,16.72,10.63,22.70,-0.68
2034,26.09,-0.55,11.85,28.80,36.12,11.21,9.83,4.92,8.60,15.21,36.12,-0.55
2035,16.37,12.75,7.83,4.53,6.01,6.64,4.06,6.79,2.53,7.50,16.37,2.53
2036,16.56,15.52,6.74,21.20,-8.42,20.28,12.47,-4.42,26.66,11.84,26.66,-8.42
2037,5.45,10.20,-7.87,19.23,8.94,16.51,17.19,2.03,27.70,11.04,27.70,-7.87
2038,10.64,12.07,10.92,9.37,9.95,23.52,10.42,-6.67,17.48,10.86,23.52,-6.67
2039,17.87,9.16,11.47,17.54,24.92,-2.35,18.07,9.24,15.41,13.48,24.92,-2.35
2040,2.82,-5.17,8.65,10.68,15.04,4.98,15.53,2.20,9.00,7.08,15.53,-5.17
2041,11.24,2.10,5.88,23.99,6.37,3.85,9.76,3.90,42.48,12.17,42.48,2.10
2042,15.05,5.42,14.61,11.04,15.18,12.22,2.60,-3.43,27.63,11.15,27.63,-3.43
2043,24.57,4.97,5.86,17.67,25.50,21.67,24.33,13.56,11.49,16.62,25.50,4.97
2044,27.31,-11.20,2.78,8.84,11.47,15.80,0.25,16.51,17.39,9.91,27.31,-11.20
2045,5.50,7.39,6.90,16.60,11.84,9.23,-3.71,0.88,19.88,8.28,19.88,-3.71
2046,16.63,15.75,9.56,13.68,22.33,12.46,3.70,22.69,20.36,15.24,22.69,3.70
2047,21.11,8.67,-6.82,10.80,18.38,11.42,0.73,0.43,12.13,8.54,21.11,-6.82
2048,16.79,9.88,4.58,26.41,37.72,8.33,2.11,12.10,25.37,15.92,37.72,2.11
2049,18.76,19.56,8.35,20.47,19.06,-1.92,1.27,6.15,5.70,10.82,20.47,-1.92
2050,14.46,4.68,17.53,24.33,8.01,7.03,20.85,15.45,12.17,13.83,24.33,4.68
2051,8.68,27.92,-4.60,11.36,5.86,12.37,14.07,12.01,15.98,11.52,27.92,-4.60
2052,-2.70,1.30,-6.36,18.32,8.12,12.66,11.11,2.64,16.50,6.84,18.32,-6.36
2053,-3.33,22.54,1.52,19.59,22.15,0.91,16.24,3.88,20.65,11.57,22.54,-3.33
2054,16.10,11.88,11.53,10.38,10.81,13.82,6.10,19.52,11.58,12.41,19.52,6.10
2055,4.59,8.80,2.81,11.83,11.04,16.54,9.70,9.03,21.48,10.65,21.48,2.81
2056,-7.57,20.65,6.41,14.94,26.20,5.24,11.72,7.25,21.55,11.82,26.20,-7.57
2057,24.10,30.70,-2.74,15.47,11.08,4.47,10.02,1.97,18.69,12.64,30.70,-2.74
2058,24.40,15.05,16.11,22.02,10.96,30.99,10.57,9.43,9.70,16.58,30.99,9.43
2059,0.85,16.38,-1.13,15.94,2.93,36.57,0.87,24.47,18.74,12.85,36.57,-1.13
2060,18.79,17.29,7.39,15.52,25.78,17.55,20.48,0.76,31.85,17.27,31.85,0.76
2061,5.99,29.69,20.44,22.58,13.80,4.74,5.35,7.14,28.60,15.37,29.69,4.74
2062,9.23,27.44,7.38,18.65,22.22,16.68,-1.31,11.64,6.22,13.13,27.44,-1.31
2063,11.66,25.43,14.70,28.94,16.06,22.98,7.70,16.84,7.06,16.82,28.94,7.06
2064,18.01,2.59,-5.06,11.30,12.13,12.21,16.76,9.37,12.85,10.02,18.01,-5.06
2065,10.48,21.30,-0.17,24.75,19.80,-4.15,15.47,5.19,6.81,11.05,24.75,-4.15
2066,30.25,37.28,18.55,23.15,14.82,7.04,13.37,6.32,17.72,18.72,37.28,6.32
2067,19.72,18.41,6.45,26.97,17.71,20.47,7.51,16.68,32.96,18.54,32.96,6.45
2068,1.45,23.63,11.23,9.77,12.79,14.29,5.62,17.86,35.30,14.66,35.30,1.45
2069,18.24,7.97,-5.54,17.24,21.20,15.52,8.89,0.42,32.93,12.99,32.93,-5.54
2070,8.68,24.13,16.64,24.30,33.47,9.67,8.43,4.31,16.20,16.20,33.47,4.31
2071,2.46,7.50,4.74,25.19,30.92,27.29,7.99,26.15,24.32,17.40,30.92,2.46
2072,16.21,13.73,2.15,15.31,20.22,24.58,7.48,3.40,31.40,14.94,31.40,2.15
2073,12.78,17.93,15.03,31.38,25.92,20.87,1.45,2.37,30.21,17.55,31.38,1.45
2074,7.39,5.99,5.80,22.29,19.25,6.96,17.17,24.39,19.40,14.29,24.39,5.80
2075,13.42,30.22,-0.96,22.52,22.48,11.07,17.00,-6.00,27.76,15.28,30.22,-6.00
2076,18.86,15.12,13.06,14.24,14.43,-5.94,0.38,10.81,9.64,10.07,18.86,-5.94
