"","Needles","Branches","StemV","StemB","Fine.root","Root.above.5cm","Root.below.5cm","Stump"
"1",NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA
"12",705.097933845194,751.879441877966,922.962681798041,186.872625772687,232.682318168914,90.9793316188647,406.670565791077,184.525852614029
"13",736.025832494913,787.758424925464,978.012862449149,195.988500258298,242.888524723321,99.3492080901815,424.068555704609,193.559623745656
"14",768.834749637302,826.018778510107,1037.40132742208,205.727902991828,253.71546738031,108.593086593263,442.50540240073,203.224591423955
"15",803.65098484949,866.838400342234,1101.51518138449,216.139428343899,265.204825000332,118.807760342659,462.049494756422,213.571635301236
"16",840.609617138261,910.40931981698,1170.77880357507,227.275766883926,277.401173655626,130.100946201975,482.773870239452,224.656136585015
"17",879.855090616416,956.938828022144,1245.65757670636,239.194062450178,290.352179903417,142.592492824217,504.75651613599,236.538398033575
"18",921.541832858603,1006.65069251859,1326.66198946722,251.95629993632,304.108804843339,156.41571304902,528.080686758929,249.284103804737
"19",965.834906749095,1059.7864620342,1414.35214837237,265.629726225709,318.725519227201,171.718851290659,552.835236938076,262.964822841367
"20",1012.9106964952,1116.60686631623,1509.34273769895,280.287306854095,334.260529843417,188.666697188756,579.114972012673,277.658559785726
"21",1062.95762831236,1177.39331645501,1612.30846940746,296.008221132193,350.776017343079,207.442357283484,607.021014451103,293.450357742535
"22",1116.1769260882,1242.44951101678,1723.9900682599,312.878398610342,368.338385609107,228.249196900869,636.661187111115,310.43295755772
"23",1172.78340209985,1312.10315329676,1845.20084080854,330.991099916119,387.018522692949,251.312964770709,668.150413024889,328.707518645657
"24",1233.00628258884,1386.70778491639,1976.83388051816,350.447545140297,406.892073254318,276.884113126547,701.611131445738,348.384406781856
"25",1297.09006768859,1466.6447408309,2119.86996498024,371.357593084004,428.039722337235,305.240326127975,737.173729725868,369.584054679096
"26",1365.2954248475,1552.32523057459,2275.38620494925,393.840474807568,450.547490199673,336.689269371871,774.976990406339,392.437901581539
"27",1437.90011449483,1644.19255024,2444.56550874293,418.025585035494,474.507037783292,371.571572989953,815.16855269025,417.089418541042
"28",1515.19994625348,1742.72442925094,2628.7069293528,444.053335068497,500.015982263649,410.264060332053,857.90538723734,443.69522647983
"29",1597.50976351278,1848.43551543654,2829.23696535476,472.076070927708,527.178221959219,453.18323347264,903.354282962188,472.426314590315
"30",1685.16445363387,1961.88000122994,3047.72189032378,502.259060503089,556.104269699179,500.789025715901,951.692344238614,503.469367071435
"31",1778.51998046961,2083.65439298837,3285.88118886477,534.781553491884,586.911593554972,553.588829874839,1003.10749660984,537.028206646061
"32",1877.95443524036,2214.40042444755,3545.602180482,569.837917887296,619.72496362932,612.141809325062,1057.7989987778,573.325363738983
"33",1983.86910111738,2354.80811416933,3828.95591521664,607.63885670559,654.676803368735,677.063496648057,1115.97795829668,612.60378061188
"34",2096.68952612873,2505.61896550545,4138.21442716647,648.412708513938,691.907543622482,749.030682047387,1177.86784802649,655.128660141314
"35",2216.86659822194,2667.62930606926,4475.86943352887,692.406835133471,731.56597741324,828.786590613729,1243.70502001409,701.189469277343
"36",2344.87761549655,2841.69376197206,4844.6525675258,739.889099633626,773.809613113862,917.146343904723,1313.73921306496,751.102107521654
"37",2481.22734376479,3028.72886013248,5247.55723331186,791.149437395906,818.80502344238,1015.0026971737,1388.23404985041,805.211251001103
"38",2626.44905271563,3229.71674979877,5687.86216955001,846.501522598361,866.728187396157,1123.33203891543,1467.4675189683,863.892882869622
"39",2781.10552105619,3445.70903203335,6169.15680556741,906.284531946707,917.764821948541,1243.20063419564,1551.73243694322,927.557020831043
"40",2945.79000009369,3677.83068329432,6695.36848966388,970.865006844642,972.110700030917,1375.771087503,1641.33688472064,996.650652518123
"41",3121.12712431383,3927.28405641543,7270.79166301507,1040.63881444488,1029.97195102356,1522.30899463128,1736.60461278577,1071.66088926797
"42",3307.77375662002,4195.35293924143,7900.1190444589,1116.0332071447,1091.56533968461,1684.18974640225,1837.87540862706,1153.11834847798
"43",3506.41975503792,4483.40664793508,8588.4748810386,1197.508979077,1157.11851916251,1862.90543993156,1945.50541987557,1241.60077418507
"44",3717.78864687785,4792.9041285527,9341.4503062593,1285.56271699192,1226.87025346969,2060.0718456915,2059.86742609277,1337.73690475839
"45",3942.6381956013,5125.39803691555,10165.1408323611,1380.72914161964,1301.07060454843,2277.43537092627,2181.35105185934,1442.21059560441
"46",4181.76084497734,5482.53876311496,11066.1859842933,1483.58353414602,1379.98107884252,2516.87995213726,2310.36291354657,1555.76520352583
"47",4435.98402455938,5866.0783632212,12051.8110612826,1594.74424081777,1463.8747281046,2780.43380150448,2447.32669193899,1679.20823782344
"48",4706.17030008499,6277.87435696692,13129.8709867402,1714.87524692227,1553.03619902805,3070.2759243932,2592.68312273319,1813.4162813546
"49",4993.21735212165,6719.89334639978,14308.8961785941,1844.68880946082,1647.76172620014,3388.74231767476,2746.88989687259,1959.34018253635
"50",5298.05776617213,7194.21440680889,15598.1403398637,1984.94813576074,1748.3590628368,3738.33175164574,2910.42146270228,2118.01051667932
"51",5621.6586175352,7703.03219769526,17007.6300333586,2136.47009305908,1855.14734378662,4121.71103205093,3083.76872205079,2290.54331203713
"52",5965.02083451137,8248.65973825333,18548.2158647982,2300.12793175406,1968.45687538875,4541.71963330217,3267.43861257676,2478.14603253501
"53",6329.17832406782,8833.53078884262,20231.6250555034,2476.85400257801,2088.62884694238,5001.37358964148,3461.95356906577,2682.12380528568
"54",6715.19684484872,9460.20177734005,22070.5151392863,2667.64244541984,2216.01495880008,5503.86852792619,3667.8508568327,2903.88587670039
"55",4986.92082941564,7091.94724501813,16854.9699279775,2011.48627746231,1645.68387370716,4236.80720688122,2719.97723968931,2201.46659337886
"56",5343.50534111706,7684.07917009301,18664.5555313289,2194.71366907669,1763.35676256863,4730.87113878794,2909.60898517144,2417.70495608153
"57",5526.00662049188,7990.01225788854,19615.4515883328,2290.03851670191,1823.58218476232,4990.16039617223,3006.54368856206,2530.93669765978
"58",5707.69309645212,8296.45627603405,20578.4731307781,2385.95855148401,1883.5387218292,5252.45660077117,3102.96882295785,2645.36411255969
"59",5888.53288987106,8603.29077981702,21553.0368851737,2482.42849711897,1943.21585365745,5517.54662027802,3198.87100067558,2760.92937886334
"60",1820.54940945501,2673.1212293803,6761.575508855,773.82169326953,600.781305120153,1735.56871580272,988.271619123533,863.273180235366
"61",2033.39313547478,3041.27997806189,7971.99467367976,891.282945025502,671.019734706678,2062.90528282438,1100.8685020666,1005.94625492446
"62",2168.41337923565,3278.7205920603,8776.00456782343,968.016181191243,715.576415147763,2278.93258393327,1172.14631000633,1100.28409054377
"63",2303.19499174384,3518.59922438296,9605.836230393,1046.27548863222,760.054347275467,2500.63551879192,1243.19124069122,1197.36514099191
"64",2437.59621593449,3760.52782621392,10459.8639801282,1125.92449073541,804.406751258382,2727.4225168498,1313.93568355399,1297.02557126525
"65",2571.49529031394,4004.1562396837,11336.5404682736,1206.836619523,848.593445803602,2958.74752919989,1384.32213776401,1399.10953348484
"66",2704.7877361044,4249.16833558307,12234.3952954368,1288.89440337579,892.579952914451,3194.10724279116,1454.30179640432,1503.4689164702
"67",2837.38404690174,4495.27857427356,13152.0330162735,1371.98880007754,936.336735477575,3433.03824315576,1523.83334642746,1609.96306670395
"68",2969.20771440827,4742.22894182153,14088.1307199683,1456.01857498464,979.838545754729,3675.11421051734,1592.88194783052,1718.45849164322
